Title,Note,Id,Date de Sortie,Age Rating,Franchise,Genres,Hypes,nb_languages,nb_platforms,Themes,Collection,Graphismes,Publisher,Developer,Multiplayer,Perspective,Similar Games,Game Engine,Summary,Storyline
Story of Seasons: Pioneers of Olive Town,71,140500,2021,Tout Public,NA,"['Role-playing (RPG)', 'Simulator', 'Strategy']",0,17,3,"['Business', 'Romance']",Yes,2073600,"['Marvelous Europe Ltd.', 'XSEED Games', 'Marvelous']",['Three Rings Inc.'],NA,Bird view / Isometric,"[25311, 26574, 29173, 35994, 55888, 87210, 103232, 109339, 111187, 117717]",NA,"The long-awaited brand new entry in the original farm/life simulation franchise, known in Japan as Bokujo Monogatari, makes its debut on Nintendo Switch, bringing players more freedom than ever before to shape an untamed wilderness and customize their farm down to the very tile. A new cast of marriage candidates, a town that grows and thrives along with your farm, and a request system highlight the new features, all while retaining the core elements of the STORY OF SEASONS series. Finding Earth Sprites while exploring your farmland may lead you to mysterious, fantastical lands such as gardens where the seasons never change, an island in the sky, or even the inside of a volcano!","Inspired by tales of their grandfather’s pioneering days, the protagonist decides to pack their bags and leave the hustle and bustle of big city life for the frontier in Olive Town.

When they arrive, they run into Victor, the town’s mayor and their grandfather’s old friend. He brings them to the old farm, which has been reclaimed by nature over the years. Determined to breathe life back into their grandfather’s dream and follow in his footsteps, the protagonist rolls up their sleeves and gets to work.

Olive Town—which is just a stone’s throw away from the farm—is a port town built on the tip of a peninsula. It might be a quiet little town, but it is home to a whole host of unique characters. And while the townsfolk get by well enough in this picturesque seaside locale, a little more tourism never hurt anyone..."
Xenoblade Chronicles 3,89,191411,2022,16 year,NA,"['Role-playing (RPG)', 'Adventure']",2,8,1,"['Action', 'Fantasy', 'Science fiction', 'Open world']",Yes,1280000,['Nintendo'],['Monolith Soft'],NA,Third person,"[1877, 17548, 19164, 55038, 55199, 81249, 96217, 103303, 106987, 115653]",NA,"A vast world awaits in Xenoblade Chronicles 3, the next game in the acclaimed RPG series from developer Monolithsoft. Players will step into the roles of protagonists Noah and Mio amid turmoil between the hostile nations of Keves and Agnus. Six characters hailing from those nations will take part in a grand tale with “life” as its central theme. Explore a new world that will connect the futures of both Xenoblade Chronicles and Xenoblade Chronicles 2.",
Hellpoint,64,36476,2020,Tout Public,NA,"['Role-playing (RPG)', 'Adventure', 'Indie']",3,23,9,"['Action', 'Science fiction', 'Horror']",Yes,9437184,['tinyBuild'],['Cradle Games'],Yes,Third person,"[1877, 25311, 28070, 89597, 96217, 105269, 106987, 107169, 107318, 111130]",Unity 2017,"Hellpoint is a dark sci fi action RPG set in the aftermath of a massive quantum cataclysm. Every living being quickly lost their mind as their memories and bodies were merged with alternate versions of themselves from parallel universes. The accident also attracted entities of immense power that should have been left alone, in the depth of other dimensions.","Once a pinnacle of human achievement, the Irid Novo space station has fallen. Its ruins are now overrun by cruel interdimensional entities acting as puppets of the malevolent Cosmic Gods.

You have been created by the Author, organically printed on Irid Novo and sent on a mission to find out the unholy series of events that led to the catastrophic incident known as the Merge."
Azure Striker Gunvolt 3,80,135503,2022,Tout Public,NA,['Platform'],3,22,6,"['Action', 'Science fiction']",Yes,2073600,['Inti Creates'],['Inti Creates'],NA,Side view,"[12539, 25311, 28070, 55038, 55190, 57187, 68286, 89550, 105269, 107318]",NA,"Fates are sealed as paradigms shift and a new era unfolds. What lies beyond the path toward hope?

Inti Creates' flagship 2D side-scrolling ""Azure Striker GUNVOLT"" series is back with a brand new title!

Just as they did for the previous two games in the series, action supervisor Keiji Inafune will be working closely with series director Yoshihisa Tsuda of Inti Creates to craft new systems and ideas that take the action the series is known for to the next level.","Gunvolt once again returns as a playable character, with a seemingly overhauled moveset, lacking the Flashfield entirely. Joining him is a new playable character named Kirin, who uses a mix of ranged and melee attacks with her sword and enchanted talismans."
Frogun,74,152051,2022,Tout Public,NA,"['Platform', 'Adventure', 'Indie', 'Arcade']",0,5,8,"['Action', 'Kids']",Yes,1190400,['Top Hat Studios'],['Molegato'],NA,Third person,"[20342, 24426, 55190, 56033, 77529, 89597, 96217, 110503, 111130, 117311]",NA,"Join Renata as she adventures across a world of mystical ruins with the titular FROGUN! Frogun is an old-school platformer with the soul of the PS1/N64 era, in which your frog-shaped grappling hook is a your best friend!","Renata's parents are world-renown explorers, archeologists and inventors that travel all over the world uncovering the secrets of the past, bringing her with them in their expeditions. However, in their latest adventure, they decide to leave her at the base camp - the Beelzebub ruins are said to be too dangerous!

For three whole days she waits, her pride hurt and bored out of her mind, until she realized: if they haven't returned yet, something must have happened to them! In a hurry she grabs her parents' last invention, the Frogun, and heads to the ruins to rescue them, and prove that she's as capable as them!"
Monster Boy and the Cursed Kingdom,86,25599,2018,16 year,NA,"['Platform', 'Role-playing (RPG)', 'Adventure', 'Indie']",5,24,6,"['Action', 'Fantasy']",Yes,2073600,['FDG Entertainment'],['Game Atelier'],NA,Side view,"[18869, 24426, 28309, 30245, 36198, 47823, 80916, 96217, 106987, 113360]",NA,"A legendary game series returns with an all-new adventure! Monster Boy is a colourful side-scrolling action adventure created in cooperation with Ryuichi Nishizawa, the creator of the Wonder Boy Monster World series (Trademark of SEGA Corporation Japan).

Monster Boy is being created to bring back the enjoyment of classic games that shine by simplicity. Pure, exciting gameplay; upbeat music and smooth graphics. You'll need to overcome huge bosses, find hidden passages, discover powerful equipment and use all your wits and skills to remove a powerful curse. Monster Boy can transform into 5 different creatures, each with their own skills and abilities. Take advantage of all the unique powers to open new paths and advance in an epic story. Monster Boy is a love letter to gaming from the 80's and 90's - will you join us and celebrate together with us?","A boy named Jin discovers his Uncle Nabu using magic to spread chaos across the kingdom, turning everyone, including his brother Zeke, into animals. While trying to stop Nabu, Jin gets turned into a pig. Learning from the king's court magician, Mysticat, about a way to return everyone to normal, Jin goes on a quest to recover five animal orbs from across the kingdom. Upon doing so, however, Mysticat takes the orbs from Jin and uses them to open the gateway to the Dark Realm for his master Lord Xaros, who had been manipulating Nabu to do his bidding. Venturing into the Dark Realm, Jin confronts Xaros and, with the help of his friends and the spirits of past Wonder Boys, manages to defeat him, restoring the kingdom to normal."
Hooked on You: A Dead by Daylight Dating Sim,72,202141,2022,Tout Public,NA,['Visual Novel'],0,16,1,"['Thriller', 'Comedy', 'Romance']",Yes,1190400,['Behaviour Interactive'],['Behaviour Interactive'],NA,First person,"[11778, 19075, 109278, 178784, 261120, 263930, 264345, 269471, 277189, 277723]",NA,"Welcome to Murderer’s Island. Your companions: four dead-sexy Killers who, underneath their murderous exteriors, just want a little romance. Flirt your way into their hearts, uncovering dark twists along the way. Will you find true love, forge friendships… or get hacked to death?",
Mega Man Battle & Fighters,68,212341,2022,Tout Public,NA,[],0,2,1,['Action'],Yes,2073600,NA,NA,NA,NA,"[25636, 57296, 87622, 87728, 95340, 100800, 103292, 105233, 109277, 113895]",NA,Mega Man Battle & Fighters features two titles arranged for the NeoGeo Pocket Color: Mega Man: The Power Batlte and MEga Man 2: The Power Fighters.,
South of the Circle,75,140556,2020,16 year,NA,"['Point-and-click', 'Adventure']",0,34,8,"['Drama', 'Warfare', 'Romance']",Yes,1184000,['11 bit studios'],['State of Play Games'],NA,Third person,"[11458, 12579, 13189, 18011, 25222, 27725, 36044, 55984, 81275, 106805]",NA,"South of the Circle is an emotional narrative experience exploring the relationship between Peter and Clara, Cambridge academics caught up in the political conflict of the Cold War. The story focuses on the weight of life choices - between career, true love and the desire to keep our promises.","The main plot asks questions about the consequences of life choices, of pursuing either career or true love, manoeuvring between now and the past. You play Peter, a Cambridge academic who crashlands in Cold War Antarctica. As he searches for help, his past unwinds before him, revealing how the pressures of power and his own aspirations have led him into this crisis he must somehow escape. A love story between him and fellow academic Clara develops, and Peter learns the weight of all the things he has promised. Like memories from childhood, some promises stay with us forever."
Apathy: Narugami Gakuen Nana Fushigi,N/A,206171,2022,Tout Public,NA,['Visual Novel'],0,0,1,['Horror'],Yes,NA,[],['mebius'],NA,First person,"[254091, 255649, 260965, 260966, 260968, 260975, 261072, 268012, 269844, 275631]",NA,A first-year student Shuichi Sakagami a member of the school newspaper club is asked to gather information from the seven storytellers assembled by his seniors to feature about the school's seven mysteries.,"A first-year student Shuichi Sakagami a member of the school newspaper club is asked to gather information from the seven storytellers assembled by his seniors to feature about the school's seven mysteries.

However, when he opened the door of the club room, there were only six people there. Without waiting for the seventh person he started the meeting already, but the room filled with a disturbing atmosphere. He shouldn't hold the meeting but he can't turn back anymore.

What kind of stories will the six people tell? And what awaits him at the end...?"
