Title,Note,Id,Date de Sortie,Age Rating,Franchise,Genres,Hypes,nb_languages,nb_platforms,Themes,Collection,Graphismes,Publisher,Developer,Multiplayer,Perspective,Similar Games,Game Engine,Summary,Storyline
Dark Souls II: Scholar of the First Sin,87,8222,2015,16 year,,"['Role-playing (RPG)', 'Adventure']",5,21,5,"['Action', 'Fantasy', 'Open world']",Yes,2073600,['Bandai Namco Entertainment'],['FromSoftware'],Yes,Third person,"[9243, 10776, 17548, 25300, 26574, 36198, 81249, 96217, 103303, 115653]",NA,"'Dark Souls II: Scholar of the First Sin' is an upgrade and bundle of Dark Souls II that brings the game to Playstation 4 and Xbox One, as well as DX11 features on PC. It also bundles all previous DLCs and provides additional features and content.",
DuckTales Remastered,70,2904,2013,Tout Public,"id: 125
","['Platform', 'Adventure']",0,14,7,"['Action', 'Comedy', 'Kids']",Yes,1152000,"['Capcom', 'Disney Interactive']","['Capcom', 'WayForward']",NA,Side view,"[3022, 7344, 7350, 9174, 9938, 11646, 16992, 26855, 55190, 56033]",NA,"DuckTales Remastered takes the classic Disney platforming adventure to a whole new level. All of the visuals from the 8-bit game have been beautifully re-created as hand-drawn and animated sprites, across a backdrop of luscious, re-envisioned level backgrounds. Furthermore, original Disney Character Voices talent, including some from the cartoon TV series, bring in-game characters to life with charm and wit, while the classic melodies of the original soundtrack are given a modern twist. The game also features an all new tutorial level where players can get familiar with the iconic pogo jump and cane swing, while Scrooge McDuck's Museum allows players to track all their stats and compare their progress with others via global leaderboards.","The Beagle Boys attempt another raid on Scrooge's money bin, with Baggy, Burger and Bouncer Beagle capturing Huey, Dewey and Louie. After Scrooge rescues them, he finds Big Time Beagle in his office with a painting in his hands. With the help of Duckworth, Big Time is defeated and retreats. The painting reveals the locations of five treasures, and Scrooge wastes no time to set out for them. Scrooge and Launchpad visit the Amazon to find the Sceptre of the Incan King. Using eight golden coins, they uncover the hidden temple of Manco Capquack, but the sceptre is lost and the temple is destroyed by its guardian statue. The chief of the natives then approaches Scrooge and Launchpad and thanks them for returning their city to them, and gives Scrooge the recovered sceptre in return, which was just the king's back scratcher. Scrooge, the nephews and Webby visit the castle of Drake Von Vladstone, also known as Dracula Duck, who was the heir to the Coin of the Lost Realm. The boys fall into a trap door and are spread throughout the Transylvanian mansion, but Scrooge saves them from the Beagle Boys, disguised as ghosts. Each of the beagle boys were also carrying a torn sheet of paper which contained part of a riddle. They uncover a mirror where Scrooge solves the riddle, and Magica De Spell reveals herself, who is also after the coin. Scrooge and Magica then face off for it, and the sorceress is defeated and retreats empty-handed. Scrooge and the nephews travel to the African Mines to find the Giant Diamond of the Inner Earth, but they find the workers are being scared off by voices and earthquakes, claiming the mine is haunted. Deep underground, Scrooge discovers that the Terra-Firmians and their games are the cause, and after interfering he is attacked by their king. Defeated, the king makes an agreement with Scrooge to stop the games in exchange for the mining operations to continue, as it will rid them of the diamonds they consider to be ""garbage rocks"". He gives Scrooge the Giant Diamond of the Inner Earth to start with."
War for the Overworld,65,1878,2015,NA,,"['Real Time Strategy (RTS)', 'Simulator', 'Strategy', 'Indie']",4,21,3,['Fantasy'],Yes,NA,['Brightrock Games'],['Brightrock Games'],NA,First person,"[9278, 9789, 10297, 10388, 10774, 11646, 15409, 17111, 17130, 33153]",Unity,"Tired of invading dungeons? It's time you build your own.

War for the Overworld is a Dungeon Management Game that employs your favourite aspects of the RPG, RTS and god game genres.

In War for the Overworld, you will play as a malevolent Underlord with unrivaled dark power and an insatiable desire for bloody conquest.

Excavate your dungeon and populate it with dozens of unique rooms that will attract myriad creatures to your halls to work and fight for you. In addition to creatures you have destructive spells and powerful rituals to cast upon any unsuspecting goodly hero (or rival Underlord) who dares trespass your unholy halls.",
Stealth Inc. 2: A Game of Clones,82,17959,2014,Tout Public,,"['Platform', 'Puzzle', 'Adventure', 'Indie']",0,12,6,"['Action', 'Science fiction', 'Stealth']",Yes,8294400,['Curve Digital'],"['Carbon Games', 'Curve Studios', 'Curve Digital']",NA,NA,"[19150, 20329, 20342, 24426, 28070, 36198, 55173, 55190, 56033, 80916]",NA,"In Stealth Inc 2, you play the role of a clone escaping a sinister and high-tech testing facility. Stealth Inc 2 tests both your brain and your reflexes over 60 varied levels linked together in a sprawling overworld. 

Death is never more than a few moments away, but one of the few advantages of being a clone is that death isn’t all that permanent. With no loading screens and no lives to worry about, players are encouraged to use their inevitable demise as a learning tool as they navigate lasers, homicidal robots and terrifying bosses in the ultimate hostile work environment",
Bastion,86,1983,2011,16 year,,"['Role-playing (RPG)', 'Adventure', 'Indie']",0,13,9,"['Action', 'Fantasy']",Yes,2287800,"['WB Games', 'Supergiant Games']",['Supergiant Games'],NA,Bird view / Isometric,"[3022, 3025, 7344, 9278, 9806, 9938, 11646, 26855, 36198, 105049]",Microsoft XNA,"A hack-and-slash RPG featuring a reactive narrator, various unlockable weapons, weapon upgrades, practice mini-games and optional difficulty modifiers, set in an imaginary world in the aftermath of an uncertain apocalypse, in which the player embodies a teenager with a troubled past as he and the narrator work together to rebuild the world out of a persisting hub called the Bastion.","The game takes place in the aftermath of the Calamity, a catastrophic event that suddenly fractured the city of Caelondia as well as the surrounding areas of the game's world into many floating pieces, disrupting its ecology and reducing most of its people to ash. Players take control of the Kid, a silent protagonist who awakens on one of the few remaining pieces of the old world and sets off for the eponymous Bastion, where everyone was supposed to go in troubled times. The only survivor he meets there is an elderly man named Rucks, the game's narrator, who instructs him to collect the Cores that once powered Caelondia. A device in the Bastion can use the power of the crystalline Cores to create landmasses and structures, as well as enable the Kid to travel farther afield via ""skyways"" that propel him through the air.

During his quest, the Kid meets two more survivors: Zulf, an ambassador from the Ura, underground-dwelling people with whom Caelondia was once at war; and Zia, an Ura girl who was raised in Caelondia. Both of them return to the Bastion, but upon reading a journal that the Kid discovers, Zulf intentionally damages parts of the Bastion's central device (the monument) and returns to Ura territory. The Kid learns that the journal belonged to Zia's father, Venn, who had worked for the Caelondians. He had helped Caelondian scientists (""Mancers"") build a weapon intended to destroy the Ura completely to prevent another war. Venn rigged the weapon to backfire, so that when he was finally forced to trigger it, the resulting Calamity destroyed most of Caelondia as well.

To repair Zulf's damage to the Bastion, the Kid starts collecting Shards, a lesser form of Cores. As he obtains the penultimate shard needed, the Ura attack the Bastion, damaging it and abducting Zia. In the next seven days, The Kid engages in sporadic skirmishes in Ura territory. When he finally blasts through an Ura outpost and meets Zia, she tells him that she had left with the Ura voluntarily to find out their intentions; Rucks had previously told Zia that the Bastion had the ability to somehow fix the Calamity. The Kid travels to the once-underground Ura homeland to retrieve the last shard. There, he discovers Zulf being attacked by his own people: the battle with Kid has devastated the Ura forces, and they blame Zulf for bringing the Kid to their home. The Kid can choose to drop his weapon to help Zulf or leave him. If he leaves Zulf behind, the Kid destroys the remnants of the Ura and escapes through a skyway. If he chooses to carry Zulf, Ura archers initially open fire on them but ultimately cease fire and watch silently as the Kid and Zulf take the skyway back to the Bastion.

After the Kid returns and recovers, Rucks gives him another choice: He can have the Bastion rewind time to before the Calamity in the hopes of preventing it, or use it to evacuate the survivors and move on to somewhere safe. Rucks is unsure if there is any way to prevent the Calamity from reoccurring if the time is rewound, as there was no way to test the process. The game ends either way, showing images of the characters (with the inclusion of Zulf if the player chose to rescue him) flying away or of their lives before the Calamity along with the credits. In the New Game+ mode, which is unlocked after beating the game once, it is hinted that restoring the world didn't prevent the Calamity."
Dark Souls II: Scholar of the First Sin,87,8222,2015,16 year,,"['Role-playing (RPG)', 'Adventure']",5,21,5,"['Action', 'Fantasy', 'Open world']",Yes,2073600,['Bandai Namco Entertainment'],['FromSoftware'],Yes,Third person,"[9243, 10776, 17548, 25300, 26574, 36198, 81249, 96217, 103303, 115653]",NA,"'Dark Souls II: Scholar of the First Sin' is an upgrade and bundle of Dark Souls II that brings the game to Playstation 4 and Xbox One, as well as DX11 features on PC. It also bundles all previous DLCs and provides additional features and content.",
Etrian Mystery Dungeon,77,8607,2015,Tout Public,,['Role-playing (RPG)'],0,0,1,['Fantasy'],Yes,NA,"['Atlus', 'NIS America', 'Sega']",['Spike ChunSoft'],NA,Bird view / Isometric,"[660, 3222, 7027, 8746, 22387, 24426, 26845, 36198, 105049, 119171]",NA,"""Far off in the mountains, the small village Aslarga becomes a hub for adventurers looking for fame and fortune from the Mystery Dungeons. But dire challenges await even the most stalwart adventurers in Etrian Mystery Dungeon, a turn-based action RPG roguelike developed by ATLUS and Spike Chunsoft.

The Nintendo 3DS exclusive mixes Etrian Odyssey’s vast RPG party and skill customization aspects, and Mystery Dungeon’s infinitely random dungeon adventures. The action/turn based combat means that battling monsters is not just about using the right skills, but becomes an elegant Pas de Quatre of strategic positioning. Players form their parties with familiar Etrian Odyssey classes, customize individuals using Etrian-style skill trees, and then take up to four members into the dungeons. Always randomized with various levels and paths, the dungeons require plenty of exploration, not to mention the incredible loot rewards -- just be wary of what waits among the deepest depths.""","Behold Aslarga, a beautiful town known for its picturesque scenery, with the Amber Yggdrasil crowning the landscape. The town flourishes thanks to a steady stream of adventurers, all drawn by the mystery dungeons that dot the area.

The mystery dungeons' structure is as twisted and complex as an anthill, and changes each time an adventurer enters, so only the bravest challenge these maddening labyrinths. They receive a great deal of support from Aslarga, from both its citizens and its government. This includes lessons in exploration given by the Guildmaster, as well as laborers who build forts that serve as front-line bases.

Why is Aslarga so active in supporting the adventurers? To hear the town provost tell it, it is ""To Prepare for the day of Reckoning..."""
Krinkle Krusher,50,26496,2015,Tout Public,,"['Puzzle', 'Strategy']",0,15,5,['Action'],Yes,2073600,"['KISS ltd', 'Funbox Media Ltd']",[],NA,NA,"[25311, 25646, 27092, 34024, 36553, 55190, 60044, 78550, 95340, 119156]",NA,"Krinkle Krusher is an action castle defense game where you cast elemental spells to defend your kingdom from twisted and hungry creatures called Krinkles.
After several generations of peace, they happen to come back exactly when the Ancient Tree bears its first fruits in centuries, and of course a cake was made from it.",
Mortal Kombat X,83,7292,2015,18 year,,['Fighting'],18,25,3,['Action'],Yes,1590000,['WB Games'],['NetherRealm Studios'],No,Side view,"[119, 494, 1244, 1246, 1942, 2552, 3042, 7334, 7498, 19441]",Unreal Engine,"Mortal Kombat X is the tenth main game in the one-on-one fighting series and a sequel to the 2011 title Mortal Kombat. The game stays close to the visual style and the mechanics of the 2011 reboot. The main controls are still based on two types of punches and kicks, and blocking, to form combos with uppercuts, teleports, special moves that incorporate weapons and fatalities. The three-tiered energy from the previous title returns, making available X-Ray moves, powered up EX moves and combo breakers. As introduced in Injustice: Gods Among Us, characters can use the environment to re-position themselves or optionally use parts as weapons. Each character now has three variations with different moves and weapons. There is once again a sprinting gauge, returning from Mortal Kombat 4.","The plot is set about 20 years after the events of the previous game where the ending revealed that Shinnok used the void after Shao Kahn's death to attack Earthrealm with his army of Netherrealm forces. Several characters work together to steal Shinnok's amulet and imprison him inside, but eventually Mileena hatches a plan to release Shinnok by bringing the amulet to Quan Chi who escaped when Shinnok was imprisoned. The gap in years is mainly used to introduce the new characters to the cast, such as Cassie, the daughter of Johnny Cage and Sonya Blade (who married and divorced), Kotal Kahn as the new emperor of the Outworld, and Takeda, the son of Kenshi."
Stealth Inc. 2: A Game of Clones,82,17959,2014,Tout Public,,"['Platform', 'Puzzle', 'Adventure', 'Indie']",0,12,6,"['Action', 'Science fiction', 'Stealth']",Yes,8294400,['Curve Digital'],"['Carbon Games', 'Curve Studios', 'Curve Digital']",NA,NA,"[19150, 20329, 20342, 24426, 28070, 36198, 55173, 55190, 56033, 80916]",NA,"In Stealth Inc 2, you play the role of a clone escaping a sinister and high-tech testing facility. Stealth Inc 2 tests both your brain and your reflexes over 60 varied levels linked together in a sprawling overworld. 

Death is never more than a few moments away, but one of the few advantages of being a clone is that death isn’t all that permanent. With no loading screens and no lives to worry about, players are encouraged to use their inevitable demise as a learning tool as they navigate lasers, homicidal robots and terrifying bosses in the ultimate hostile work environment",
